iter	Passed	Remaining
0	59	59152
1	105	52498
2	134	44770
3	204	50862
4	255	50764
5	279	46268
6	338	47986
7	385	47808
8	397	43725
9	467	46234
10	479	43111
11	546	44995
12	609	46267
13	679	47823
14	744	48860
15	794	48874
16	836	48361
17	870	47508
18	940	48559
19	965	47292
20	990	46156
21	1051	46757
22	1105	46956
23	1174	47761
24	1248	48683
25	1325	49652
26	1421	51236
27	1467	50960
28	1523	51007
29	1560	50468
30	1639	51243
31	1672	50605
32	1708	50058
33	1739	49421
34	1794	49488
35	1826	48909
36	1858	48366
37	1923	48697
38	1958	48261
39	2028	48686
40	2091	48916
41	2128	48559
42	2198	48937
43	2272	49372
44	2301	48840
45	2354	48840
46	2389	48440
47	2430	48201
48	2468	47902
49	2502	47546
50	2531	47103
51	2570	46871
52	2596	46399
53	2659	46586
54	2682	46083
55	2746	46294
56	2769	45812
57	2790	45317
58	2840	45303
59	2900	45442
60	2959	45563
61	3000	45401
62	3062	45542
63	3109	45480
64	3140	45168
65	3185	45081
66	3244	45181
67	3307	45337
68	3369	45469
69	3433	45612
70	3557	46551
71	3593	46320
72	3624	46028
73	3689	46163
74	3719	45871
75	3779	45952
76	3821	45811
77	3866	45702
78	3939	45923
79	3966	45612
80	4005	45441
81	4044	45282
82	4122	45551
83	4166	45436
84	4196	45171
85	4231	44975
86	4287	44989
87	4309	44665
88	4379	44825
89	4424	44731
90	4486	44815
91	4509	44509
92	4529	44174
93	4560	43958
94	4652	44321
95	4672	43999
96	4727	44013
97	4791	44098
98	4850	44147
99	4885	43969
100	4913	43731
101	4941	43504
102	4989	43450
103	5057	43568
104	5090	43394
105	5132	43289
106	5170	43154
107	5211	43042
108	5240	42837
109	5294	42839
110	5343	42799
111	5370	42578
112	5399	42385
113	5463	42464
114	5501	42338
115	5531	42154
116	5576	42086
117	5646	42202
118	5678	42037
119	5721	41960
120	5765	41883
121	5831	41967
122	5895	42032
123	5926	41864
124	5990	41931
125	6039	41895
126	6082	41812
127	6113	41649
128	6176	41700
129	6245	41796
130	6324	41954
131	6400	42089
132	6431	41927
133	6493	41963
134	6550	41970
135	6623	42075
136	6692	42160
137	6731	42047
138	6771	41945
139	6819	41891
140	6856	41771
141	6916	41789
142	6957	41694
143	6998	41601
144	7058	41621
145	7126	41684
146	7175	41636
147	7236	41657
148	7287	41624
149	7342	41606
150	7371	41447
151	7433	41471
152	7498	41509
153	7544	41447
154	7624	41567
155	7700	41659
156	7768	41711
157	7828	41720
158	7885	41710
159	7942	41698
160	8008	41735
161	8111	41960
162	8169	41948
163	8232	41965
164	8298	41993
165	8361	42011
166	8419	41995
167	8492	42059
168	8552	42055
169	8612	42049
170	8676	42062
171	8739	42072
172	8798	42061
173	8861	42067
174	8912	42017
175	9001	42142
176	9063	42143
177	9124	42135
178	9184	42126
179	9267	42217
180	9328	42210
181	9393	42219
182	9452	42200
183	9517	42208
184	9583	42219
185	9644	42205
186	9705	42197
187	9766	42181
188	9825	42163
189	9887	42153
190	9943	42118
191	10005	42107
192	10065	42086
193	10128	42079
194	10189	42062
195	10254	42063
196	10319	42061
197	10429	42245
198	10509	42302
199	10586	42347
200	10656	42359
201	10714	42327
202	10776	42310
203	10844	42316
204	10916	42334
205	10977	42310
206	11043	42306
207	11110	42303
208	11180	42313
209	11250	42323
210	11316	42316
211	11392	42345
212	11450	42308
213	11517	42301
214	11575	42265
215	11642	42257
216	11702	42226
217	11762	42192
218	11825	42171
219	11888	42150
220	11947	42114
221	12009	42088
222	12076	42078
223	12137	42047
224	12193	42000
225	12259	41987
226	12319	41950
227	12381	41923
228	12443	41893
229	12511	41886
230	12575	41863
231	12679	41974
232	12760	42007
233	12820	41967
234	12888	41955
235	12948	41917
236	13042	41988
237	13102	41948
238	13159	41902
239	13227	41885
240	13291	41858
241	13357	41837
242	13419	41805
243	13481	41771
244	13549	41754
245	13615	41733
246	13685	41720
247	13745	41680
248	13812	41659
249	13871	41614
250	13931	41573
251	13988	41522
252	14052	41490
253	14122	41476
254	14182	41435
255	14247	41407
256	14313	41381
257	14380	41357
258	14437	41306
259	14503	41278
260	14572	41260
261	14638	41232
262	14725	41266
263	14790	41233
264	14855	41202
265	14922	41176
266	15002	41186
267	15069	41160
268	15129	41113
269	15190	41069
270	15253	41032
271	15321	41007
272	15381	40961
273	15445	40924
274	15514	40902
275	15579	40867
276	15641	40825
277	15699	40773
278	15764	40740
279	15825	40693
280	15895	40671
281	15960	40636
282	16023	40597
283	16092	40572
284	16158	40537
285	16218	40489
286	16295	40483
287	16363	40454
288	16468	40516
289	16544	40505
290	16612	40475
291	16680	40443
292	16769	40463
293	16888	40556
294	16953	40516
295	17022	40486
296	17086	40443
297	17151	40403
298	17248	40439
299	17332	40442
300	17406	40423
301	17476	40391
302	17541	40350
303	17608	40313
304	17674	40273
305	17743	40242
306	17835	40261
307	17899	40215
308	17968	40182
309	18033	40138
310	18098	40095
311	18164	40054
312	18232	40017
313	18293	39966
314	18359	39925
315	18430	39894
316	18498	39856
317	18566	39818
318	18632	39776
319	18697	39732
320	18762	39686
321	18829	39646
322	18890	39594
323	18951	39540
324	19017	39498
325	19090	39469
326	19152	39417
327	19214	39365
328	19279	39320
329	19348	39283
330	19412	39235
331	19478	39192
332	19598	39254
333	19662	39207
334	19729	39165
335	19791	39112
336	19857	39067
337	19922	39019
338	19984	38966
339	20050	38920
340	20111	38866
341	20185	38836
342	20245	38779
343	20304	38720
344	20376	38686
345	20437	38630
346	20496	38571
347	20562	38526
348	20627	38476
349	20688	38421
350	20745	38358
351	20805	38300
352	20875	38262
353	20936	38205
354	20991	38138
355	21049	38077
356	21111	38025
357	21171	37965
358	21227	37902
359	21286	37842
360	21360	37809
361	21466	37834
362	21526	37775
363	21585	37715
364	21651	37667
365	21710	37608
366	21781	37567
367	21903	37617
368	21965	37561
369	22024	37500
370	22085	37443
371	22149	37392
372	22209	37333
373	22269	37275
374	22326	37211
375	22386	37152
376	22447	37094
377	22512	37043
378	22574	36988
379	22662	36975
380	22722	36917
381	22784	36861
382	22846	36804
383	22909	36750
384	22967	36688
385	23033	36638
386	23096	36584
387	23159	36529
388	23218	36469
389	23279	36411
390	23336	36347
391	23395	36286
392	23455	36228
393	23510	36160
394	23578	36113
395	23642	36060
396	23705	36005
397	23762	35942
398	23825	35887
399	23893	35840
400	23959	35789
401	24021	35733
402	24132	35749
403	24202	35703
404	24262	35645
405	24327	35592
406	24389	35535
407	24446	35471
408	24503	35407
409	24604	35406
410	24689	35382
411	24752	35326
412	24810	35263
413	24876	35212
414	24936	35151
415	24997	35092
416	25056	35031
417	25120	34975
418	25191	34931
419	25255	34876
420	25320	34823
421	25389	34774
422	25451	34717
423	25512	34658
424	25579	34607
425	25650	34561
426	25714	34506
427	25779	34452
428	25839	34391
429	25905	34339
430	25971	34286
431	26032	34228
432	26091	34165
433	26159	34116
434	26221	34057
435	26284	34001
436	26347	33944
437	26443	33929
438	26503	33869
439	26564	33809
440	26641	33770
441	26711	33721
442	26778	33669
443	26842	33613
444	26931	33588
445	27003	33542
446	27073	33493
447	27134	33433
448	27201	33380
449	27271	33332
450	27333	33272
451	27392	33210
452	27478	33181
453	27544	33126
454	27602	33061
455	27665	33004
456	27728	32946
457	27790	32887
458	27848	32824
459	27907	32760
460	27973	32706
461	28036	32648
462	28101	32593
463	28158	32528
464	28227	32476
465	28285	32412
466	28344	32350
467	28401	32285
468	28462	32224
469	28528	32170
470	28585	32105
471	28650	32049
472	28757	32040
473	28819	31981
474	28878	31918
475	28938	31857
476	29018	31816
477	29075	31751
478	29139	31694
479	29194	31627
480	29255	31567
481	29319	31509
482	29378	31446
483	29448	31395
484	29511	31336
485	29574	31278
486	29631	31213
487	29688	31148
488	29751	31089
489	29819	31036
490	29886	30981
491	29946	30920
492	30005	30857
493	30068	30798
494	30130	30739
495	30191	30678
496	30255	30621
497	30315	30559
498	30420	30542
499	30480	30480
500	30554	30432
501	30613	30369
502	30672	30306
503	30733	30245
504	30788	30178
505	30849	30118
506	30918	30064
507	31053	30075
508	31113	30013
509	31174	29952
510	31235	29890
511	31292	29826
512	31355	29766
513	31425	29714
514	31485	29651
515	31544	29587
516	31603	29525
517	31660	29459
518	31725	29402
519	31783	29338
520	31841	29274
521	31899	29210
522	31964	29153
523	32022	29088
524	32084	29028
525	32146	28968
526	32204	28904
527	32265	28843
528	32321	28777
529	32391	28724
530	32458	28668
531	32517	28605
532	32577	28543
533	32632	28476
534	32695	28417
535	32754	28354
536	32812	28290
537	32870	28226
538	32931	28165
539	32999	28110
540	33055	28045
541	33115	27983
542	33171	27917
543	33239	27862
544	33327	27823
545	33384	27759
546	33444	27696
547	33516	27644
548	33573	27580
549	33634	27519
550	33692	27455
551	33753	27394
552	33809	27328
553	33867	27265
554	33928	27203
555	33994	27146
556	34057	27087
557	34115	27023
558	34173	26960
559	34241	26903
560	34305	26845
561	34365	26782
562	34427	26722
563	34488	26661
564	34545	26596
565	34626	26551
566	34688	26490
567	34750	26430
568	34817	26372
569	34911	26337
570	34975	26277
571	35031	26212
572	35087	26147
573	35148	26085
574	35206	26022
575	35263	25958
576	35323	25895
577	35382	25833
578	35438	25768
579	35503	25709
580	35601	25674
581	35675	25622
582	35746	25568
583	35814	25511
584	35879	25452
585	35939	25390
586	36005	25332
587	36068	25272
588	36129	25210
589	36185	25145
590	36251	25087
591	36310	25024
592	36368	24961
593	36435	24903
594	36495	24841
595	36558	24781
596	36617	24718
597	36673	24653
598	36736	24593
599	36796	24531
600	36853	24466
601	36907	24400
602	36968	24339
603	37027	24276
604	37091	24216
605	37159	24159
606	37225	24101
607	37312	24056
608	37371	23993
609	37434	23933
610	37491	23869
611	37553	23808
612	37610	23744
613	37676	23686
614	37737	23624
615	37801	23564
616	37885	23517
617	37994	23484
618	38072	23434
619	38138	23375
620	38205	23317
621	38268	23256
622	38348	23206
623	38418	23149
624	38484	23090
625	38558	23036
626	38628	22980
627	38685	22915
628	38744	22852
629	38802	22788
630	38860	22724
631	38920	22662
632	38987	22603
633	39050	22543
634	39107	22479
635	39161	22413
636	39213	22346
637	39278	22286
638	39335	22222
639	39398	22161
640	39461	22100
641	39521	22038
642	39578	21974
643	39635	21910
644	39694	21847
645	39746	21780
646	39822	21727
647	39878	21662
648	39932	21596
649	39991	21533
650	40058	21475
651	40128	21418
652	40227	21376
653	40290	21315
654	40352	21254
655	40408	21189
656	40481	21134
657	40540	21071
658	40599	21008
659	40659	20945
660	40721	20884
661	40781	20821
662	40838	20758
663	40896	20694
664	40962	20635
665	41042	20582
666	41111	20524
667	41169	20461
668	41226	20397
669	41282	20333
670	41344	20271
671	41403	20208
672	41463	20146
673	41519	20082
674	41586	20023
675	41646	19960
676	41704	19897
677	41759	19832
678	41813	19767
679	41876	19706
680	41932	19642
681	41988	19578
682	42045	19514
683	42106	19452
684	42167	19391
685	42223	19326
686	42282	19263
687	42339	19200
688	42398	19137
689	42513	19100
690	42580	19041
691	42634	18975
692	42701	18916
693	42772	18859
694	42836	18798
695	42898	18737
696	42953	18672
697	43017	18612
698	43085	18553
699	43148	18492
700	43207	18429
701	43264	18365
702	43321	18302
703	43386	18242
704	43442	18178
705	43499	18114
706	43563	18053
707	43632	17995
708	43693	17933
709	43750	17869
710	43810	17807
711	43874	17747
712	43936	17685
713	43995	17622
714	44051	17558
715	44132	17505
716	44191	17442
717	44249	17379
718	44309	17316
719	44368	17254
720	44430	17192
721	44485	17128
722	44542	17065
